K008110,대동전자
K008250,이건산업
K008260,NI스틸
K008290,원풍물산
K008350,남선알미늄
K008370,원풍
K008420,문배철강
K008470,부스타
K008490,서흥
K008500,일정실업
K008560,메리츠증권
K008600,윌비스
K008700,아남전자
K008730,율촌화학
K008770,호텔신라
K008830,대동기어
K008870,금비
K008930,한미사이언스
K008970,동양철관
K009070,KCTC
K009140,경인전자
K009150,삼성전기
K009160,SIMPAC
K009180,한솔로지스틱스
K009190,대양금속
K009200,무림페이퍼
K009240,한샘
K009270,신원
K009290,광동제약
K009300,삼아제약
K009310,참엔지니어링
K009320,대우부품
K009410,태영건설
K009420,한올바이오파마
K009440,KC그린홀딩스
K009450,경동나비엔
K009460,한창제지
K009470,삼화전기
K009520,포스코엠텍
K009540,한국조선해양
K009580,무림P&P
K009620,삼보산업
K009680,모토닉
K009770,삼정펄프
K009780,엠에스씨
K009810,엔케이물산
K009830,한화솔루션
K009900,명신산업
K009970,영원무역홀딩스
K010040,한국내화
K010050,우리종금
K010060,OCI
K010100,한국프랜지
K010120,LS ELECTRIC
K010130,고려아연
K010140,삼성중공업
K010170,대한광통신
K010240,흥국
K010280,쌍용정보통신
K010400,우진아이엔에스
K010420,한솔PNS
K010470,오리콤
K010600,웰바이오텍
K010620,현대미포조선
K010640,진양폴리
K010660,화천기계
K010690,화신
K010770,평화홀딩스
K010780,아이에스동서
K010820,퍼스텍
K010950,S-Oil
K010960,삼호개발
K011000,진원생명과학
K011040,경동제약
K011070,LG이노텍
K011080,형지I&C
K011090,에넥스
K011150,CJ씨푸드
K011170,롯데케미칼
K011200,HMM
K011210,현대위아
K011230,삼화전자
K011280,태림포장
K011300,성안
K011320,유니크
K011330,유니켐
K011370,서한
K011390,부산산업
K011420,갤럭시아에스엠
K011500,한농화성
K011560,세보엠이씨
K011700,한신기계
K011760,현대상사
K011780,금호석유
K011790,SKC
K011810,STX
K011930,신성이엔지
K012030,DB
K012160,영흥
K012200,계양전기
K012280,영화금속
K012320,경동인베스트
K012330,현대모비스
K012340,뉴인텍
K012450,한화에어로스페이스
K012510,더존비즈온
K012600,센트럴인사이트
K012610,경인양행
K012620,원일특강
K012630,HDC
K012690,모나리자
K012700,리드코프
K012750,에스원
K012790,신일제약
K012800,대창
K012860,모베이스전자
K013000,세우글로벌
K013030,하이록코리아
K013120,동원개발
K013310,아진산업
K013360,일성건설
K013520,화승알앤에이
K013570,디와이
K013580,계룡건설
K013700,까뮤이앤씨
K013720,청보산업
K013810,스페코
K013870,지엠비코리아
K013890,지누스
K013990,아가방컴퍼니
K014130,한익스프레스
K014160,대영포장
K014190,원익큐브
K014200,광림
K014280,금강공업
K014440,영보화학
K014470,부방
K014530,극동유화
K014570,고려제약
K014580,태경비케이
K014620,성광벤드
K014680,한솔케미칼
K014710,사조씨푸드
K014790,한라
K014820,동원시스템즈
K014830,유니드
K014910,성문전자
K014940,오리엔탈정공
K014970,삼륭물산
K014990,인디에프
K015020,이스타코
K015230,대창단조
K015260,에이엔피
K015350,부산가스
K015360,예스코홀딩스
K015540,쎌마테라퓨틱스
K015590,큐로
K015710,코콤
K015750,성우하이텍
K015760,한국전력
K015860,일진홀딩스
K015890,태경산업
K016090,대현
K016100,리더스코스메틱
K016250,SGC이테크건설
K016360,삼성증권
K016380,KG동부제철
K016450,한세예스24홀딩스
K016580,환인제약
K016590,신대양제지
K016600,큐캐피탈
K016610,DB금융투자
K016710,대성홀딩스
K016740,두올
K016790,현대사료
K016800,퍼시스
K016880,웅진
K016920,카스
K017000,신원종합개발
K017040,광명전기
K017180,명문제약
K017250,인터엠
K017370,우신시스템
K017390,서울가스
K017480,삼현철강
K017510,세명전기
K017550,수산중공업
K017650,대림제지
K017670,SK텔레콤
K017800,현대엘리베이
K017810,풀무원
K017890,한국알콜
K017900,광전자
K017940,E1
K017960,한국카본
K018000,유니슨
K018120,진로발효
K018250,애경산업
K018260,삼성에스디에스
K018290,브이티지엠피
K018310,삼목에스폼
K018470,조일알미늄
K018500,동원금속
K018620,우진비앤지
K018670,SK가스
K018680,서울제약
K018700,바른손
K018880,한온시스템
K019010,베뉴지
K019170,신풍제약
K019180,티에이치엔
K019210,와이지-원
K019440,세아특수강
K019490,하이트론
K019540,일지테크
K019550,SBI인베스트먼트
K019570,리더스 기술투자
K019590,엠벤처투자
K019660,글로본
K019680,대교
K019770,서연탑메탈
K019990,에너토크
K020000,한섬
K020120,키다리스튜디오
K020150,일진머티리얼즈
K020180,대신정보통신
K020400,대동금속
K020710,시공테크
K020760,일진디스플
K021040,대호피앤씨
K021050,서원
K021080,에이티넘인베스트
K021240,코웨이
K021320,KCC건설
K021650,한국큐빅
K021880,메이슨캐피탈
K022100,포스코 ICT
K022220,정산애강
K023000,삼원강재
K023150,MH에탄올
K023160,태광
K023350,한국종합기술
K023410,유진기업
K023440,제일제강
K023450,동남합성
K023460,CNH
K023530,롯데쇼핑
K023590,다우기술
K023600,삼보판지
K023760,한국캐피탈
K023770,플레이위드
K023790,동일철강
K023800,인지컨트롤스
K023810,인팩
K023890,한국아트라스비엑스
K023900,풍국주정
K023910,대한약품
K023960,에쓰씨엔지니어링
K024060,흥구석유
K024070,WISCOM
K024090,디씨엠
K024110,기업은행
K024120,KB오토시스
K024720,한국콜마홀딩스
K024740,한일단조
K024800,유성티엔에스
K024810,이화전기
K024840,KBI메탈
K024850,피에스엠씨
K024880,케이피에프
K024890,대원화성
K024900,덕양산업
K024910,경창산업
K024940,PN풍년
K024950,삼천리자전거
K025000,KPX케미칼
K025320,시노펙스
K025440,대성엘텍
K025530,SJM홀딩스
K025540,한국단자
K025550,한국선재
K025560,미래산업
K025620,제이준코스메틱
K025750,한솔홈데코
K025770,한국정보통신
K025820,이구산업
K025860,남해화학
K025870,신라에스지
K025880,케이씨피드
K025890,한국주강
K025900,동화기업
K025950,동신건설
K025980,아난티
K026040,제이에스티나
K026150,특수건설
K026890,디피씨
K026910,광진실업
K026940,부국철강
K026960,동서
K027040,서울전자통신
K027050,코리아나
K027360,아주IB투자
K027410,BGF
K027580,상보
K027710,팜스토리
K027740,마니커
K027830,대성창투
K027970,세하
K028050,삼성엔지니어링
K028080,휴맥스홀딩스
K028100,동아지질
K028150,GS홈쇼핑
K028260,삼성물산
K028300,에이치엘비
K028670,팬오션
K029460,케이씨
K029480,릭스솔루션
K029530,신도리코
K029780,삼성카드
K029960,코엔텍
K030000,제일기획
K030190,NICE평가정보
K030200,KT
K030210,KTB투자증권
K030350,드래곤플라이
K030520,한글과컴퓨터
K030530,원익홀딩스
K030610,교보증권
K030720,동원수산
K030790,비케이탑스
K030960,양지사
K031310,아이즈비전
K031330,에스에이엠티
K031390,녹십자셀
K031430,신세계인터내셔날
K031440,신세계푸드
K031510,오스템
K031820,콤텍시스템
K031860,엔에스엔
K031980,피에스케이홀딩스
K032080,아즈텍WB
